artifact_id	path	artifact_class	milestone	paper_role	authoritative_or_generated	source_commit	git_blob	blob_sha256	evidence_path	freeze_status	known_limitation
m2-summary	logs/tamarin-impact-original/summary.txt	evidence	M2	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	e5177f3c8cc8a23e66baa9d2b56df8be161f794a	62eba2d1b8beeab21c95b68b630592fbc85cd30779c9ff86021afbd328054339	logs/tamarin-impact-original/SHA256SUMS.txt	frozen	single committed historical run
m2-aggregate	logs/tamarin-impact-original/aggregate-results.tsv	evidence	M2	paper-mainline	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	f6815fb8edd7464cbd197604b1520dc612014083	90342fa1953f66c13d5c6d419d2a7099131ab8c6b96fb03a045da3fc8ce8e66b	logs/tamarin-impact-original/SHA256SUMS.txt	frozen	raw-to-summary index
m2-manifest	logs/tamarin-impact-original/SHA256SUMS.txt	manifest	M2	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c99937c4f70b6d0d563d457cf984b72d73270053	4fe7c6a040255e4f2f04afb7c993237b62c2016a33258af8c7f6243988d10bc7	logs/tamarin-impact-original/SHA256SUMS.txt	frozen	SHA-256 manifest
m3-summary	logs/tamarin-m3-closeout/closeout-summary.txt	evidence	M3	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	28a6a0c04c8b81384dde8960eac35597c89d34d7	b4be0b8fa7160a96aca59166f9530071862ea8b7fa7f6c54f6e52f7e7ae37e74	logs/tamarin-m3-closeout/SHA256SUMS.txt	frozen	transparent two-run composite
m3-selection	logs/tamarin-m3-closeout/composite-selection.tsv	evidence	M3	paper-mainline	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	cda639ee10e795fdfda488c648452f101628a9cd	ed0ed57e3dc94a38b8e13ab829d857aa857ba64ec6e97753372e7eec3df581f9	logs/tamarin-m3-closeout/composite-result-vector.tsv	frozen	Run 2 primary; Run 1 fallback
m3-vector	logs/tamarin-m3-closeout/composite-result-vector.tsv	evidence	M3	paper-mainline	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	57b47d29ec7cb3dbfc740753089847e65b8a0255	024a16d6354e77e6364dfa159359030b7e94c8c0b79b21e4646b76c810cc913c	logs/tamarin-m3-closeout/closeout-summary.txt	frozen	196-target transparent composite
m3-manifest	logs/tamarin-m3-closeout/SHA256SUMS.txt	manifest	M3	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	02c5b6e56b7e3a6375b4ced628ee074ca389cc2b	68f3965830b8e48e3bfc39085476355a0e4f3e9efc39b7b1ad477243ec912d29	logs/tamarin-m3-closeout/SHA256SUMS.txt	frozen	composite raw-to-summary binding
m3-source-manifests	logs/tamarin-m3-closeout/source-manifests.txt	provenance	M3	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	7a69223e257afa108fbc32133e6bbcb96a9afe95	0c5f3946787db36092bd8a995505de2bd6904495fe6b6bf93cfc94b2aff0058b	logs/tamarin-m3-closeout/SHA256SUMS.txt	frozen	two source-run manifest binding
m4-summary	logs/tamarin-m4-hmac-dedup/composite-summary.txt	evidence	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c7d7c7561dff7ad0802c4837496d0db6b8fe5992	b86bd4f91a9c35b19450dfdd5a36c2bec0a69b5565ff4c7cf44ae372c1ba8c4e	logs/tamarin-m4-hmac-dedup/SHA256SUMS.txt	frozen	no single 296/296 terminal source run
m4-selection	logs/tamarin-m4-hmac-dedup/composite-selection.tsv	evidence	M4	paper-mainline	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	fc3f78db50b8c8b028a981aa860298d01f82cb51	f2197bab6c0a4705c495f77940f357ce6fbfb4bbc1f77761512afd2d4d4ce9c9	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	frozen	Run 1 primary; Run 2 fallback
m4-vector	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	evidence	M4	paper-mainline	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	9ca5f33cf9671b67b2fe4b1761d592be22ec2cf7	28f19254a276d091401aafd782facbccc8226e68a21926d13610e6c3b91fc187	logs/tamarin-m4-hmac-dedup/composite-summary.txt	frozen	296-target Tamarin-only composite
m4-manifest	logs/tamarin-m4-hmac-dedup/SHA256SUMS.txt	manifest	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	e7ec3967969c9b7999295b961069558319fddf90	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73	logs/tamarin-m4-hmac-dedup/SHA256SUMS.txt	frozen	659-entry composite raw-to-summary binding
m4-run1-aggregate	logs/tamarin-m4-hmac-dedup/source-run1/aggregate.tsv	source-evidence	M4	paper-mainline	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	b51418ce365d99fd9821b3a57037c9c8828f6526	b31cada7697e630e7351324aef896d4a960950c8aba1da1975959fe4993c10fe	logs/tamarin-m4-hmac-dedup/source-run1/SHA256SUMS.txt	frozen	complete 296-target source invocation; 294 terminal
m4-run1-status	logs/tamarin-m4-hmac-dedup/source-run1/source-run-status.txt	source-status	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	1d78739958f43b5f6a16cca670235233729e3793	de545cc7e7ff8eaacefae8fcb4a954555a1224f24fe7ce8ff62b9874c54f3fe2	logs/tamarin-m4-hmac-dedup/source-run1/SHA256SUMS.txt	frozen	VALID is structural qualification, not 296 terminal
m4-run1-manifest	logs/tamarin-m4-hmac-dedup/source-run1/SHA256SUMS.txt	manifest	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	23df28b8e19545d92d0ef53990e1247f23de162b	11e8f4b447595d8761a7e41dca9ae0534dd2d7234156239453f4daaf0a62859e	logs/tamarin-m4-hmac-dedup/SHA256SUMS.txt	frozen	327-entry source-run manifest
m4-run1-provenance	logs/tamarin-m4-hmac-dedup/source-run1/provenance.txt	provenance	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	71f6ad0457b4c8c6f7e3174e5d62cc3ac659c50b	6d48e7d3493972c9b924efa6455be0a83a4fa4d75f5eba8b94029ff9e83964b9	logs/tamarin-m4-hmac-dedup/source-run1/SHA256SUMS.txt	frozen	Commit A/tool/resource binding
m4-run2-aggregate	logs/tamarin-m4-hmac-dedup/source-run2/aggregate.tsv	source-evidence	M4	paper-mainline	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c60a4c02ae1c179a92aa7614842e684473df0a56	14a3558d09932eeb0336229a5e9aa849b780c00d737c9d7b9947b48b2f0e2eb1	logs/tamarin-m4-hmac-dedup/source-run2/SHA256SUMS.txt	frozen	complete 296-target source invocation; 291 terminal
m4-run2-status	logs/tamarin-m4-hmac-dedup/source-run2/source-run-status.txt	source-status	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	1d78739958f43b5f6a16cca670235233729e3793	de545cc7e7ff8eaacefae8fcb4a954555a1224f24fe7ce8ff62b9874c54f3fe2	logs/tamarin-m4-hmac-dedup/source-run2/SHA256SUMS.txt	frozen	VALID is structural qualification, not 296 terminal
m4-run2-manifest	logs/tamarin-m4-hmac-dedup/source-run2/SHA256SUMS.txt	manifest	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	049b1ce426423c02bed24f83df17b09eb7ef8532	c1280a77b57efa9fae146dacf6bb3b046a5ae393c2f3acd537a78592aad2405d	logs/tamarin-m4-hmac-dedup/SHA256SUMS.txt	frozen	327-entry source-run manifest
m4-run2-provenance	logs/tamarin-m4-hmac-dedup/source-run2/provenance.txt	provenance	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	1b750b12b298346f56720d8bbbd924f67904c865	0dafb35b050e6793285a56916e443624469af2f1c26dff670b441b2cc3c46276	logs/tamarin-m4-hmac-dedup/source-run2/SHA256SUMS.txt	frozen	Commit A/tool/resource binding
v6-summary	logs/tamarin-v6/summary.txt	evidence	M0	regression-only	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	553735ee3d2c1aeb7c768c9e0bb7ce05f75861a1	981d15187da8bd4a303d680e8684349b937949ace6cd6228b90a7a8a4a976723	logs/tamarin-v6/summary.txt	frozen	no standalone M0 completion record
v7-summary	logs/tamarin-v7/summary.txt	evidence	M0	regression-only	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	9cd3a4d185d94a53e3e74c4595c7912036cd1348	b04fdbdaf863376ad0f52f28da14d0f5c6a4c9daa925248cff516305a4fb1f2f	logs/tamarin-v7/summary.txt	frozen	no standalone M0 completion record
pv-original-summary	logs/final/proverif/summary.txt	evidence	M0	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	ff24b5e33537be899d1f25c8a825e02e8054cf2f	c123f736ae51c118c4c7dda480d4e1cc26a1d65823c2c140e7ca9410d0549b51	logs/final/proverif/summary.txt	frozen	inherited by M4; not rerun in M4
pv-hmac-summary	logs/variants/hmac-confirmation/proverif/summary.txt	evidence	M1	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	41162bc55aeb077d65a0c259a1c96e050a718325	f427e18060550a0d596207dd6993901d189174dac1d316ffcd6d4661d6a10925	logs/variants/hmac-confirmation/proverif/summary.txt	frozen	inherited by M4; not rerun in M4
claim-hierarchy	docs/claim-hierarchy.md	claim-source	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	feac5c5fef4a2fc73466af187fadc07f67833b35	e064e2e8b07690af7ea32d5089159e57c6e9ca4ef47fd55aadedabeb1231a890	docs/claim-hierarchy.md	frozen	statement boundary authority
threat-matrix	docs/threat-compromise-matrix.md	claim-source	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	7498edb6db2258d053aa8e056cd782c749223f67	f90d743177b289cb242af289068d905427a0335ab46e41f98f880dc3e4d0918b	docs/threat-compromise-matrix.md	frozen	threat assumptions authority
model-mapping	docs/model-mapping.md	claim-source	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	45642bf0eff16ea15cc56cc9b841fcf1df422be4	6bf6f70b9943f19cd44ae725a236a94d4416d403d9e84be8ffb0dfd7fce0c1e5	docs/model-mapping.md	frozen	model/query/lemma mapping authority
m1-completion	docs/milestones/M1-completion.md	completion	M1	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	2d58081828e1ca5340079cc8f1642ad2a373ad9d	0428311416f1851ccaa75c50db1738907f35bfe6516e1f3b93cdfa0f0f9645f1	docs/milestones/M1-completion.md	frozen	milestone record
m2-completion	docs/milestones/M2-completion.md	completion	M2	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	9bef11f7f68801e8190fe8f07b7ee9dd7d819b7e	d9d0125235854629a53c178967bdb8c94f965e25f8083bd70e73be9ac73a396c	docs/milestones/M2-completion.md	frozen	milestone record
m3-completion	docs/milestones/M3-completion.md	completion	M3	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	7f7071a083483bff0129f6ffa9278d928a39ed7c	57ae871b8a83c2006536ee9c5ef1d2e1aa710e561721e4ad98d4bafa7dea21ff	docs/milestones/M3-completion.md	frozen	milestone record
m4-completion	docs/milestones/M4-completion.md	completion	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	523003a2a98bb41e47a89b5ee9003369e7ffeac2	4587a4a38275cbf1336afdb975a9332bcf1617b1accb51660873ad42bbad4832	docs/milestones/M4-completion.md	frozen	milestone record
pv-original-baseline	logs/final/proverif/generated/BASELINE.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	69761f655bcee7548052c786d20e4154296b442e	40591129e4e7cfcb4bbe0f9ce82e428f8cac507b84123f6b071cbaffdf892680	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-component	logs/final/proverif/generated/COMPONENT.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	6ca341c4c7c5dda457c9ec75cf66c97b67a13ca6	499e8e7ea17dc2638aa01585981a1f28053ed10e42f03728840283f8ba9e297a	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-exception-choice	logs/final/proverif/generated/EXCEPTION_CHOICE.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	5ab5f31b42e70f185f9842c7ab9edea6881f84d8	e26567b2580f19717dda4fcdf8f1fbd14737e289242c08b928fe9c18ef36ad28	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-receiver-exception-classification	logs/final/proverif/generated/RECEIVER_EXCEPTION_CLASSIFICATION.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	e63fb23e163b1d61c377d8872a82d2f24cee3a6d	fdfa3a5cbe0b497ed6bac0f3fc15a7a68db9632cf44bd794d00581d58264be73	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sigsk-a	logs/final/proverif/generated/LEAK_SIGSK_A.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	dde4e018add9a94822eb543af3e0d545aaa491ce	e3446742aab27490ab5f982ade38a590751be8967c12515d333ea515264ff300	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sigsk-b	logs/final/proverif/generated/LEAK_SIGSK_B.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	4a134e385e68357d2884d05c8f4450d495be30cd	b90f8c3008da4a9cfc6d6b5447fe7376c15c7371b39fb8c63a4394e0bcd80c08	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sigsk-ab	logs/final/proverif/generated/LEAK_SIGSK_AB.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	cdab0934cadd86cc2be3f24991636d493f283d68	f99d15f9ae6c8c249785fc71e95e93a61454a4a29f71f075078494a5c235de35	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sigsk	logs/final/proverif/generated/LEAK_SIGSK.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	bb69f50e7217c42149726c7ad94582523edb87c3	153dbf16c37ba091829885331bce132df926263cf081155d56ee82f54cca69d4	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-kemsk	logs/final/proverif/generated/LEAK_KEMSK.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	84e0937bc1decb015411666857adfdb33a27e2e8	ec273f78c8c038d50b28db07ed25a1a812057afb579c821884c8eb71ac213b81	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-ekemsk	logs/final/proverif/generated/LEAK_EKEMSK.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	8003776978ff3dc9ba6da016db5f4ac740f973b6	54e92b91f409b7fb6557e000ac2c85d17306116465272ed6c5d4c6d629e9cd48	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-rskemsk	logs/final/proverif/generated/LEAK_RSKEMSK.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	4844b9d75954b4a2491cf221d230d7a8a01d324d	b3a20e68f9c3812fc75973b9fc26292649173278da517b531c95f3dea657ef24	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sskemsk	logs/final/proverif/generated/LEAK_SSKEMSK.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	38ededa02b885de3b7190c72f4b45bd84cffc3b9	8a4e8b3cfa2b3a94d969cea8b42b2173a07b3808ebf7a4db3132f4d3bf5fae45	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-kemsk-ekemsk	logs/final/proverif/generated/LEAK_KEMSK_EKEMSK.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	4f33a3d0362929d2dd80d108a9699a19dda641de	b534f21f90cf373027134eebe8024aa8092c7f7f239e0aaf37db9ba90edfc3cf	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-all-receiver-secrets	logs/final/proverif/generated/LEAK_ALL_RECEIVER_SECRETS.pv	generated-model	M0	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	fc714f1f786c9f72b0b37070d83f714c9e6df116	91e165d23c0dc3ba2f3b2fecb584962909f939763cd117894ba873e025104ce2	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-hmac-hmac-baseline	logs/variants/hmac-confirmation/proverif/generated/HMAC_BASELINE.pv	generated-model	M1	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	61a30b3284282ee11deb46a3a10d157743173430	66c903bd60536c437cdccea10afe15e95c4a8e854a0a49fcb3a02f5828529bd5	logs/variants/hmac-confirmation/proverif/summary.txt	frozen	exact preprocessed target model
pv-hmac-hmac-component	logs/variants/hmac-confirmation/proverif/generated/HMAC_COMPONENT.pv	generated-model	M1	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	31e150ef5bbbc22f31544ce7bba8c518eb5e6f0e	bb1374e65557fb92652250af96ed3b7f8b9b89211211944dc19d10374d308081	logs/variants/hmac-confirmation/proverif/summary.txt	frozen	exact preprocessed target model
pv-hmac-hmac-leak-sigsk-a	logs/variants/hmac-confirmation/proverif/generated/HMAC_LEAK_SIGSK_A.pv	generated-model	M1	regression-only	generated	211ffd0a8ed8a7051d12dcc165566a66e64ab970	71a1d6a2cf5a897826f178ae76f2b3de45de196c	7f3c933cc216495bd6245cedd6487756efaebac743a7a9894d6c90216e88681f	logs/variants/hmac-confirmation/proverif/summary.txt	frozen	exact preprocessed target model
