artifact_id	path	artifact_class	milestone	paper_role	authoritative_or_generated	evidence_path	freeze_status	known_limitation
pv-original-receiver-exception-classification	logs/final/proverif/generated/RECEIVER_EXCEPTION_CLASSIFICATION.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sigsk-a	logs/final/proverif/generated/LEAK_SIGSK_A.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sigsk-b	logs/final/proverif/generated/LEAK_SIGSK_B.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sigsk-ab	logs/final/proverif/generated/LEAK_SIGSK_AB.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sigsk	logs/final/proverif/generated/LEAK_SIGSK.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-kemsk	logs/final/proverif/generated/LEAK_KEMSK.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-ekemsk	logs/final/proverif/generated/LEAK_EKEMSK.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-rskemsk	logs/final/proverif/generated/LEAK_RSKEMSK.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-sskemsk	logs/final/proverif/generated/LEAK_SSKEMSK.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-kemsk-ekemsk	logs/final/proverif/generated/LEAK_KEMSK_EKEMSK.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-original-leak-all-receiver-secrets	logs/final/proverif/generated/LEAK_ALL_RECEIVER_SECRETS.pv	generated-model	M0	regression-only	generated	logs/final/proverif/summary.txt	frozen	exact preprocessed target model
pv-hmac-hmac-baseline	logs/variants/hmac-confirmation/proverif/generated/HMAC_BASELINE.pv	generated-model	M1	regression-only	generated	logs/variants/hmac-confirmation/proverif/summary.txt	frozen	exact preprocessed target model
pv-hmac-hmac-component	logs/variants/hmac-confirmation/proverif/generated/HMAC_COMPONENT.pv	generated-model	M1	regression-only	generated	logs/variants/hmac-confirmation/proverif/summary.txt	frozen	exact preprocessed target model
pv-hmac-hmac-leak-sigsk-a	logs/variants/hmac-confirmation/proverif/generated/HMAC_LEAK_SIGSK_A.pv	generated-model	M1	regression-only	generated	logs/variants/hmac-confirmation/proverif/summary.txt	frozen	exact preprocessed target model
